Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments

202590,EVSC335,ENVIRONMENTAL LAW,001,93205,TR,11:30 AM - 12:50 PM,FMH 108,Open,30,14,"Bonchonsky, Michael",Face-to-Face,3,Book,
202590,EVSC385,ENVIRONMENTAL MICROBIOLOGY,001,93206,R,6:00 PM - 8:50 PM,TIER 107,Open,30,20,,Face-to-Face,3,Book,
202590,EVSC484,ENVIRONMENTAL ANALYSIS,101,93207,M,6:00 PM - 10:05 PM,TIER 205,Open,15,5,,Face-to-Face,3,Book,
202590,EVSC591,GRADUATE WORK EXPERIENCE I,131,93208,,TBA,,Open,19,0,"Sadik, Omowunmi",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,132,93209,,TBA,,Open,19,0,"Chen, Hao",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,135,93210,,TBA,,Open,19,0,"Champagne, Pier Alexandre",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,136,93211,,TBA,,Open,19,0,"Gund, Tamara",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,137,93212,,TBA,,Open,19,0,"Eberhart, Michael",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,138,93213,,TBA,,Open,19,0,"Shakib, Farnaz",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,141,93214,,TBA,,Open,19,0,"Casado Zapico, Sai",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,142,93215,,TBA,,Open,19,0,"Belfield, Kevin",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,143,93216,,TBA,,Open,19,0,"Li, Mengyan",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,144,93217,,TBA,,Open,19,0,"Zhang, Lijie",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,148,93218,,TBA,,Open,19,0,"Mitra, Somenath",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,151,93219,,TBA,,Open,19,0,"Warner, Genoa",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,152,93220,,TBA,,Open,19,0,"Zhang, Yuanwei",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,156,93221,,TBA,,Open,19,0,"Farinas, Edgardo",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,158,93222,,TBA,,Open,19,0,"Khalizov, Alexei",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,161,93223,,TBA,,Open,19,0,,Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC591,GRADUATE WORK EXPERIENCE I,843,93224,,TBA,,Open,19,0,"Qiu, Zeyuan",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC592,GRADUATE WORK EXPERIENCE II,131,93225,,TBA,,Open,19,0,"Sadik, Omowunmi",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC592,GRADUATE WORK EXPERIENCE II,132,93226,,TBA,,Open,19,0,"Chen, Hao",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC592,GRADUATE WORK EXPERIENCE II,135,93227,,TBA,,Open,19,0,"Champagne, Pier Alexandre",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC592,GRADUATE WORK EXPERIENCE II,136,93228,,TBA,,Open,19,0,"Gund, Tamara",Face-to-Face,1,Book,See department for permission to enroll.
202590,EVSC592,GRADUATE WORK EXPERIENCE II,137,93229,,TBA,,Open,19,0,"Eberhart, Michael",Face-to-Face,1,Book,See department for permission to enroll.
