Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments

202590,OM375,BUSINESS OP MGMT & ANALYTICS,001,95156,TR,11:30 AM - 12:50 PM,CULM LECT 1,Open,43,42,"Rudna, Olena",Face-to-Face,3,Book,Students must bring their own device for this section.
202590,OM375,BUSINESS OP MGMT & ANALYTICS,101,95157,T,6:00 PM - 8:50 PM,KUPF 203,Open,43,13,"Rudna, Olena",Face-to-Face,3,Book,Students must bring their own device for this section.
202590,OM375,BUSINESS OP MGMT & ANALYTICS,451,95158,,TBA,,Closed,30,30,"Bizel, Gulhan",Online Newark,3,Book,Online Course
202590,OPSE301,OPTICAL SCI & ENGR OPTICS,101,95159,T,6:00 PM - 8:50 PM,FMH 403B,Closed,15,15,"Balasingham, Brandan",Face-to-Face,3,Book,
202590,OPSE310,VIRTUAL INSTRUMENTATION,101,95160,R,6:00 PM - 8:50 PM,FMH 403B,Open,15,7,"Balasingham, Brandan",Face-to-Face,3,Book,
202590,PE115,STRNGTH TRNING & CONDING,003,95971,TR,8:30 AM - 9:50 AM,WEC FITCENTR,Open,15,6,,Face-to-Face,1,Book,Class meets first half of the semester.
202590,PE115,STRNGTH TRNING & CONDING,005,95972,TR,11:30 AM - 12:50 PM,WEC FITCENTR,Open,15,10,,Face-to-Face,1,Book,Class meets first half of the semester.
202590,PE115,STRNGTH TRNING & CONDING,007,95162,F,8:30 AM - 9:50 AM,WEC FITCENTR,Open,15,13,,Face-to-Face,1,Book,
202590,PE115,STRNGTH TRNING & CONDING,009,95163,W,11:30 AM - 12:50 PM,WEC FITCENTR,Open,15,14,,Face-to-Face,1,Book,
202590,PE115,STRNGTH TRNING & CONDING,001,95161,W,1:00 PM - 2:20 PM,WEC FITCENTR,Closed,15,15,,Face-to-Face,1,Book,
202590,PE117,JOGGING,001,95973,TR,1:00 PM - 2:20 PM,WEC TRACK,Closed,15,15,"Callahan, Brian",Face-to-Face,1,Book,Class meets first half of the semester.
